날짜,기사제목,링크
2024-01-29,"디엑스앤브이엑스, 동반진단 사업 매출 본격화",https://finance.naver.com/item/news_read.naver?article_id=0005663371&office_id=018&code=180400&page=1&sm=
2024-01-29,"디엑스앤브이엑스 동반진단 ‘클리덱스’, 카티 개발사에 서비스 제공",https://finance.naver.com/item/news_read.naver?article_id=0007319914&office_id=421&code=180400&page=1&sm=
2024-01-18,디엑스앤브이엑스 “한미 지분 확보 위한 CB발행 아니다”,https://finance.naver.com/item/news_read.naver?article_id=0005657615&office_id=018&code=180400&page=1&sm=
2024-01-18,"디엑스앤브이엑스 ""한미 경영권 분쟁 위한 CB발행은 불가능""",https://finance.naver.com/item/news_read.naver?article_id=0005130345&office_id=014&code=180400&page=1&sm=
2024-01-16,"디엑스앤브이엑스, JP모건 헬스케어서 글로벌 빅파마와 파트너링 구축 협...",https://finance.naver.com/item/news_read.naver?article_id=0005655831&office_id=018&code=180400&page=1&sm=
2024-01-16,"디엑스앤브이엑스 ""글로벌 기업들과 파트너링 구축 협의""",https://finance.naver.com/item/news_read.naver?article_id=0005128667&office_id=014&code=180400&page=1&sm=
2024-01-16,"디엑스앤브이엑스, 글로벌 기업들과 파트너링 구축 협의",https://finance.naver.com/item/news_read.naver?article_id=0005367650&office_id=277&code=180400&page=1&sm=
2024-01-02,"디엑스앤브이엑스, 유전체 빅데이터 서비스 출시",https://finance.naver.com/item/news_read.naver?article_id=0004932015&office_id=015&code=180400&page=1&sm=
2024-01-02,"디엑스앤브이엑스, 익명 임상 유전체 빅데이터 서비스 출시",https://finance.naver.com/item/news_read.naver?article_id=0007266123&office_id=421&code=180400&page=1&sm=
2024-01-02,"디엑스앤브이엑스, 유전체 빅데이터 제공 서비스 출시",https://finance.naver.com/item/news_read.naver?article_id=0014420526&office_id=001&code=180400&page=1&sm=
2024-01-02,"디엑스앤브이엑스, 유전체 빅데이터 서비스 론칭…의료 데이터 사업 본격...",https://finance.naver.com/item/news_read.naver?article_id=0005361568&office_id=277&code=180400&page=1&sm=
2024-01-02,"디엑스앤브이엑스, 유전체 빅데이터 서비스 론칭",https://finance.naver.com/item/news_read.naver?article_id=0004980639&office_id=008&code=180400&page=1&sm=
2023-12-26,"디엑스앤브이엑스, JP모건 헬스케어 파트너링 미팅…바이오텍 쇼케이스 발...",https://finance.naver.com/item/news_read.naver?article_id=0005359229&office_id=277&code=180400&page=1&sm=
2023-12-20,"DXVX, 출산·육아 모범 수출기업 한국무역협회 회장상 수상",https://finance.naver.com/item/news_read.naver?article_id=0005640822&office_id=018&code=180400&page=1&sm=
2023-12-18,'LG CNS·구글'도 사로잡은 디엑스앤브이엑스,https://finance.naver.com/item/news_read.naver?article_id=0005116152&office_id=014&code=180400&page=1&sm=
2023-12-18,"디엑스앤브이엑스, LG CNS?구글과 의료 데이터 플랫폼 개발 협력",https://finance.naver.com/item/news_read.naver?article_id=0007240504&office_id=421&code=180400&page=1&sm=
2023-12-18,"디엑스앤브이엑스, LG CNS·구글클라우드와 의료 데이터 플랫폼 개발",https://finance.naver.com/item/news_read.naver?article_id=0005356263&office_id=277&code=180400&page=1&sm=
2023-12-06,"디엑스앤브이엑스, 무역의 날 '700만불 수출의 탑' 수상",https://finance.naver.com/item/news_read.naver?article_id=0012252314&office_id=003&code=180400&page=1&sm=
2023-12-06,"DXVX, 무역의 날 '700만불 수출의 탑' 수상",https://finance.naver.com/item/news_read.naver?article_id=0005633287&office_id=018&code=180400&page=1&sm=
2023-12-05,"디엑스앤브이엑스, AI 신약개발사 도약…한미 출신 이경익 상무 합류",https://finance.naver.com/item/news_read.naver?article_id=0007217423&office_id=421&code=180400&page=1&sm=
2023-12-05,"DXVX, AI 기반 신약개발 기업으로 도약",https://finance.naver.com/item/news_read.naver?article_id=0000021521&office_id=648&code=180400&page=1&sm=
2023-12-05,디엑스앤브이엑스 “AI 기반 신약개발 기업으로 진화 중”,https://finance.naver.com/item/news_read.naver?article_id=0005350422&office_id=277&code=180400&page=1&sm=
2023-12-05,"디엑스앤브이엑스 ""AI 기반 신약개발 기업으로 진화중""",https://finance.naver.com/item/news_read.naver?article_id=0005110364&office_id=014&code=180400&page=1&sm=
2023-11-24,"디엑스앤브이엑스, 디티앤씨알오와 동반시장 개척 맞손",https://finance.naver.com/item/news_read.naver?article_id=0004966058&office_id=008&code=180400&page=1&sm=
2023-11-24,"디엑스앤브이엑스·디티앤씨알오, 신약?동반진단 개발 파트너십",https://finance.naver.com/item/news_read.naver?article_id=0007196380&office_id=421&code=180400&page=1&sm=
2023-11-24,"디엑스앤브이엑스, 디티앤씨알오와 동반진단 개발 협력 체결",https://finance.naver.com/item/news_read.naver?article_id=0004917861&office_id=015&code=180400&page=1&sm=
2023-11-24,"디엑스앤브이엑스, 디티앤씨알오와 신약개발·동반진단 서비스 개발 전략적...",https://finance.naver.com/item/news_read.naver?article_id=0005345619&office_id=277&code=180400&page=1&sm=
2023-11-22,"DxVx, 英 항암백신 ‘OVM-200’ 도입 후 자체 임상 계획",https://finance.naver.com/item/news_read.naver?article_id=0005625150&office_id=018&code=180400&page=2&sm=
2023-11-22,"DxVx, 영국 기업서 항암백신 도입…자체 임상 진행 검토",https://finance.naver.com/item/news_read.naver?article_id=0000021215&office_id=648&code=180400&page=2&sm=
